id,category,title_en,amazon_aed,amazon_usd,source,c_supply,b_supply,a_supply,amazon_en_url,amazon_ar_url
ORDER-371306,auto,"Travel Foldable Car Sunshade",10.11,3,search,$1,$1,$1,,
ORDER-371307,auto,"Travel Portable Tire Inflator",12.2,3,search,$1,$1,$1,,
ORDER-371308,auto,"Travel Car Trunk Organizer",36.5,10,search,$3,$3,$2,,
ORDER-371309,auto,"Travel LED Ambient Light Kit",23,6,search,$2,$2,$1,,
ORDER-371310,auto,"Travel Leather Steering Wheel Cover",18.49,5,search,$2,$1,$1,,
ORDER-371311,baby,"Retail Smart Baby Care Monitor",345,94,detail,$31,$24,$19,,
ORDER-371312,baby,"Retail Baby Travel Organizer",1048.95,286,search,$95,$72,$57,,
ORDER-371313,baby,"Retail Bottle Warmer Travel Kit",1048.95,286,detail,$95,$72,$57,,
ORDER-371314,baby,"Retail Diaper Backpack",1048.95,286,detail,$95,$72,$57,,
ORDER-371315,baby,"Retail Baby Stroller Fan",999,272,detail,$91,$68,$54,,
ORDER-371316,baby,"Retail Baby Feeding Bottle Set",212.31,58,detail,$19,$15,$12,,
ORDER-371317,baby,"Retail Portable Changing Mat",899,245,detail,$82,$61,$49,,
ORDER-371318,baby,"Retail Baby Safety Gate",499,136,detail,$45,$34,$27,,
ORDER-371319,baby,"Retail Nursery Night Light",339.99,93,detail,$31,$23,$19,,
ORDER-371320,baby,"Retail Baby Grooming Kit",220,60,detail,$20,$15,$12,,
ORDER-371321,baby,"Pro Smart Baby Care Monitor",1264.69,344,detail,$115,$86,$69,,
ORDER-371322,baby,"Pro Baby Travel Organizer",1609,438,detail,$146,$110,$88,,
ORDER-371323,baby,"Pro Bottle Warmer Travel Kit",675.3,184,detail,$61,$46,$37,,
ORDER-371324,baby,"Pro Diaper Backpack",148.99,41,detail,$14,$10,$8,,
ORDER-371325,baby,"Pro Baby Stroller Fan",498.98,136,detail,$45,$34,$27,,
ORDER-371326,baby,"Pro Baby Feeding Bottle Set",212.31,58,detail,$19,$15,$12,,
ORDER-371327,baby,"Pro Portable Changing Mat",329,90,detail,$30,$23,$18,,
ORDER-371328,baby,"Pro Baby Safety Gate",349,95,detail,$32,$24,$19,,
ORDER-371329,baby,"Pro Nursery Night Light",498.98,136,detail,$45,$34,$27,,
ORDER-371330,baby,"Pro Baby Grooming Kit",776.29,211,detail,$70,$53,$42,,
ORDER-371331,baby,"Compact Smart Baby Care Monitor",135.99,37,detail,$12,$9,$7,,
ORDER-371332,baby,"Compact Baby Travel Organizer",842.86,230,detail,$77,$58,$46,,
ORDER-371333,baby,"Compact Bottle Warmer Travel Kit",498.98,135.87,category-median,$45,$34,$27,,
ORDER-371334,baby,"Compact Diaper Backpack",143,39,detail,$13,$10,$8,,
ORDER-371335,baby,"Compact Baby Stroller Fan",383.9,105,detail,$35,$26,$21,,
ORDER-371336,baby,"Compact Baby Feeding Bottle Set",219.3,60,detail,$20,$15,$12,,
ORDER-371337,baby,"Compact Portable Changing Mat",529,144,detail,$48,$36,$29,,
ORDER-371338,baby,"Compact Baby Safety Gate",498.98,135.87,category-median,$45,$34,$27,,
ORDER-371339,baby,"Compact Nursery Night Light",498.98,135.87,category-median,$45,$34,$27,,
ORDER-371340,baby,"Compact Baby Grooming Kit",498.98,135.87,category-median,$45,$34,$27,,
ORDER-371341,baby,"Premium Smart Baby Care Monitor",199,54,search,$18,$14,$11,,
ORDER-371342,baby,"Premium Baby Travel Organizer",498.98,135.87,category-median,$45,$34,$27,,
ORDER-371343,baby,"Premium Bottle Warmer Travel Kit",498.98,135.87,category-median,$45,$34,$27,,
ORDER-371344,baby,"Premium Diaper Backpack",498.98,135.87,category-median,$45,$34,$27,,
ORDER-371345,baby,"Premium Baby Stroller Fan",498.98,135.87,category-median,$45,$34,$27,,
ORDER-371346,baby,"Premium Baby Feeding Bottle Set",133.03,36,search,$12,$9,$7,,
ORDER-371347,baby,"Premium Portable Changing Mat",498.98,135.87,category-median,$45,$34,$27,,
ORDER-371348,baby,"Premium Baby Safety Gate",498.98,135.87,category-median,$45,$34,$27,,
ORDER-371349,baby,"Premium Nursery Night Light",249,68,detail,$23,$17,$14,,
ORDER-371350,baby,"Premium Baby Grooming Kit",498.98,135.87,category-median,$45,$34,$27,,
ORDER-371351,baby,"Travel Smart Baby Care Monitor",498.98,135.87,category-median,$45,$34,$27,,
ORDER-371352,baby,"Travel Baby Travel Organizer",498.98,135.87,category-median,$45,$34,$27,,
ORDER-371353,baby,"Travel Bottle Warmer Travel Kit",338,92,detail,$31,$23,$18,,
ORDER-371354,baby,"Travel Diaper Backpack",512.82,140,search,$47,$35,$28,,
ORDER-371355,baby,"Travel Baby Stroller Fan",498.98,135.87,category-median,$45,$34,$27,,
ORDER-371356,baby,"Travel Baby Feeding Bottle Set",498.98,135.87,category-median,$45,$34,$27,,
ORDER-371357,baby,"Travel Portable Changing Mat",558,152,search,$51,$38,$30,,
ORDER-371358,baby,"Travel Baby Safety Gate",152.99,42,search,$14,$11,$8,,
ORDER-371359,baby,"Travel Nursery Night Light",539.13,147,search,$49,$37,$29,,
ORDER-371360,baby,"Travel Baby Grooming Kit",811.31,221,search,$74,$55,$44,,
ORDER-371361,health,"Retail Portable Wellness Massager",129.99,35.4,category-median,$12,$9,$7,,
ORDER-371362,health,"Retail Posture Support Belt",129.98,35,search,$12,$9,$7,,
ORDER-371363,health,"Retail Smart Fitness Scale",129.99,35.4,category-median,$12,$9,$7,,
ORDER-371364,health,"Retail Massage Gun Set",159.99,44,search,$15,$11,$9,,
ORDER-371365,health,"Retail Neck Heating Massager",30.51,8,search,$3,$2,$2,,
ORDER-371366,health,"Retail Digital Blood Pressure Monitor",139.9,38,search,$13,$10,$8,,
ORDER-371367,health,"Retail Walking Pad Compact Treadmill",129.99,35.4,category-median,$12,$9,$7,,
ORDER-371368,health,"Retail Resistance Band Training Kit",339,92,search,$31,$23,$18,,
ORDER-371369,health,"Retail Air Quality Monitor",339.97,93,search,$31,$23,$19,,
ORDER-371370,health,"Retail Ergonomic Office Cushion",129.99,35,search,$12,$9,$7,,
ORDER-371371,health,"Pro Portable Wellness Massager",289.99,79,search,$26,$20,$16,,
ORDER-371372,health,"Pro Posture Support Belt",89.99,25,search,$8,$6,$5,,
ORDER-371373,health,"Pro Smart Fitness Scale",199.98,54,search,$18,$14,$11,,
ORDER-371374,health,"Pro Massage Gun Set",109.95,30,search,$10,$8,$6,,
ORDER-371375,health,"Pro Neck Heating Massager",1487.07,405,search,$135,$101,$81,,
ORDER-371376,health,"Pro Digital Blood Pressure Monitor",79.98,22,search,$7,$6,$4,,
ORDER-371377,health,"Pro Walking Pad Compact Treadmill",45,12,search,$4,$3,$2,,
ORDER-371378,health,"Pro Resistance Band Training Kit",30.51,8,search,$3,$2,$2,,
ORDER-371379,health,"Pro Air Quality Monitor",89.99,25,search,$8,$6,$5,,
ORDER-371380,health,"Pro Ergonomic Office Cushion",281.98,77,search,$26,$19,$15,,
ORDER-371381,health,"Compact Portable Wellness Massager",248,68,search,$23,$17,$14,,
ORDER-371382,health,"Compact Posture Support Belt",145.9,40,search,$13,$10,$8,,
ORDER-371383,health,"Compact Smart Fitness Scale",45,12,search,$4,$3,$2,,
ORDER-371384,health,"Compact Massage Gun Set",239.97,65,detail,$22,$16,$13,,
ORDER-371385,health,"Compact Neck Heating Massager",31.8,9,search,$3,$2,$2,,
ORDER-371386,health,"Compact Digital Blood Pressure Monitor",279,76,search,$25,$19,$15,,
ORDER-371387,health,"Compact Walking Pad Compact Treadmill",199.99,54,search,$18,$14,$11,,
ORDER-371388,health,"Compact Resistance Band Training Kit",129.99,35.4,category-median,$12,$9,$7,,
ORDER-371389,health,"Compact Air Quality Monitor",159,43,search,$14,$11,$9,,
ORDER-371390,health,"Compact Ergonomic Office Cushion",80,22,search,$7,$6,$4,,
ORDER-371391,health,"Premium Portable Wellness Massager",159.99,44,search,$15,$11,$9,,
ORDER-371392,health,"Premium Posture Support Belt",95,26,search,$9,$7,$5,,
ORDER-371393,health,"Premium Smart Fitness Scale",369,100,search,$33,$25,$20,,
ORDER-371394,health,"Premium Massage Gun Set",66.99,18,search,$6,$5,$4,,
ORDER-371395,health,"Premium Neck Heating Massager",98.1,27,search,$9,$7,$5,,
ORDER-371396,health,"Premium Digital Blood Pressure Monitor",75.99,21,search,$7,$5,$4,,
ORDER-371397,health,"Premium Walking Pad Compact Treadmill",149,41,search,$14,$10,$8,,
ORDER-371398,health,"Premium Resistance Band Training Kit",129.99,35.4,category-median,$12,$9,$7,,
ORDER-371399,health,"Premium Air Quality Monitor",129.99,35.4,category-median,$12,$9,$7,,
ORDER-371400,health,"Premium Ergonomic Office Cushion",44.99,12,search,$4,$3,$2,,
ORDER-371401,health,"Travel Portable Wellness Massager",698.99,190,search,$63,$48,$38,,
ORDER-371402,health,"Travel Posture Support Belt",29.99,8,search,$3,$2,$2,,
ORDER-371403,health,"Travel Smart Fitness Scale",2849,776,search,$259,$194,$155,,
ORDER-371404,health,"Travel Massage Gun Set",30.5,8,search,$3,$2,$2,,
ORDER-371405,health,"Travel Neck Heating Massager",299.99,82,detail,$27,$21,$16,,
ORDER-371406,health,"Travel Digital Blood Pressure Monitor",129.99,35.4,category-median,$12,$9,$7,,
ORDER-371407,health,"Travel Walking Pad Compact Treadmill",49,13,search,$4,$3,$3,,
ORDER-371408,health,"Travel Resistance Band Training Kit",229,62,search,$21,$16,$12,,
ORDER-371409,health,"Travel Air Quality Monitor",24.9,7,search,$2,$2,$1,,
ORDER-371410,health,"Travel Ergonomic Office Cushion",100,27,search,$9,$7,$5,,
ORDER-371411,sports,"Retail Outdoor Cooling Gear",14799,4030,detail,$1343,$1008,$806,,
ORDER-371412,sports,"Retail Foldable Camping Chair",94.5,25.73,category-median,$9,$6,$5,,
ORDER-371413,sports,"Retail Hydration Fitness Pack",12999,3540,search,$1180,$885,$708,,
ORDER-371414,sports,"Retail Padel Racket Starter Set",24.9,7,search,$2,$2,$1,,
ORDER-371415,sports,"Retail Yoga Mat Fitness Kit",26.74,7,search,$2,$2,$1,,
ORDER-371416,sports,"Retail Adjustable Dumbbell Set",34.95,10,search,$3,$3,$2,,
ORDER-371417,sports,"Retail Camping Lantern Power Bank",40,11,search,$4,$3,$2,,
ORDER-371418,sports,"Retail Cooling Sports Towel Pack",25,7,search,$2,$2,$1,,
ORDER-371419,sports,"Retail Insulated Water Bottle Set",94.5,25.73,category-median,$9,$6,$5,,
ORDER-371420,sports,"Retail Portable Beach Shade",99.99,27,search,$9,$7,$5,,
ORDER-371421,sports,"Pro Outdoor Cooling Gear",36.1,10,search,$3,$3,$2,,
ORDER-371422,sports,"Pro Foldable Camping Chair",1680.02,457,search,$152,$114,$91,,
ORDER-371423,sports,"Pro Hydration Fitness Pack",40.31,11,search,$4,$3,$2,,
ORDER-371424,sports,"Pro Padel Racket Starter Set",74.99,20,search,$7,$5,$4,,
ORDER-371425,sports,"Pro Yoga Mat Fitness Kit",1599,435,detail,$145,$109,$87,,
ORDER-371426,sports,"Pro Adjustable Dumbbell Set",799,218,detail,$73,$55,$44,,
ORDER-371427,sports,"Pro Camping Lantern Power Bank",94.5,25.73,category-median,$9,$6,$5,,
ORDER-371428,sports,"Pro Cooling Sports Towel Pack",99,27,search,$9,$7,$5,,
ORDER-371429,sports,"Pro Insulated Water Bottle Set",90,25,search,$8,$6,$5,,
ORDER-371430,sports,"Pro Portable Beach Shade",55,15,search,$5,$4,$3,,
ORDER-371431,sports,"Compact Outdoor Cooling Gear",14.89,4,search,$1,$1,$1,,
ORDER-371432,sports,"Compact Foldable Camping Chair",159.99,44,search,$15,$11,$9,,
ORDER-371433,sports,"Compact Hydration Fitness Pack",24,7,search,$2,$2,$1,,
ORDER-371434,sports,"Compact Padel Racket Starter Set",46.65,13,search,$4,$3,$3,,
ORDER-371435,sports,"Compact Yoga Mat Fitness Kit",259,71,search,$24,$18,$14,,
ORDER-371436,sports,"Compact Adjustable Dumbbell Set",69,19,search,$6,$5,$4,,
ORDER-371437,sports,"Compact Camping Lantern Power Bank",119.99,33,search,$11,$8,$7,,
ORDER-371438,sports,"Compact Cooling Sports Towel Pack",2438.42,664,search,$221,$166,$133,,
ORDER-371439,sports,"Compact Insulated Water Bottle Set",132,36,search,$12,$9,$7,,
ORDER-371440,sports,"Compact Portable Beach Shade",31,8,search,$3,$2,$2,,
ORDER-371441,sports,"Premium Outdoor Cooling Gear",94.5,25.73,category-median,$9,$6,$5,,
ORDER-371442,sports,"Premium Foldable Camping Chair",134.99,37,search,$12,$9,$7,,
ORDER-371443,sports,"Premium Hydration Fitness Pack",23,6,search,$2,$2,$1,,
ORDER-371444,sports,"Premium Padel Racket Starter Set",9.9,3,search,$1,$1,$1,,
ORDER-371445,sports,"Premium Yoga Mat Fitness Kit",12,3,search,$1,$1,$1,,
ORDER-371446,sports,"Premium Adjustable Dumbbell Set",69,19,search,$6,$5,$4,,
ORDER-371447,sports,"Premium Camping Lantern Power Bank",78,21,search,$7,$5,$4,,
ORDER-371448,sports,"Premium Cooling Sports Towel Pack",2460.93,670,search,$223,$168,$134,,
ORDER-371449,sports,"Premium Insulated Water Bottle Set",119,32,search,$11,$8,$6,,
ORDER-371450,sports,"Premium Portable Beach Shade",99,27,search,$9,$7,$5,,
ORDER-371451,sports,"Travel Outdoor Cooling Gear",20,5,search,$2,$1,$1,,
ORDER-371452,sports,"Travel Foldable Camping Chair",94.5,25.73,category-median,$9,$6,$5,,
ORDER-371453,sports,"Travel Hydration Fitness Pack",34.89,10,search,$3,$3,$2,,
ORDER-371454,sports,"Travel Padel Racket Starter Set",94.5,25.73,category-median,$9,$6,$5,,
ORDER-371455,sports,"Travel Yoga Mat Fitness Kit",215.96,59,search,$20,$15,$12,,
ORDER-371456,sports,"Travel Adjustable Dumbbell Set",105,29,search,$10,$7,$6,,
ORDER-371457,sports,"Travel Camping Lantern Power Bank",98.99,27,search,$9,$7,$5,,
ORDER-371458,sports,"Travel Cooling Sports Towel Pack",2438.42,664,search,$221,$166,$133,,
ORDER-371459,sports,"Travel Insulated Water Bottle Set",119.99,33,search,$11,$8,$7,,
ORDER-371460,sports,"Travel Portable Beach Shade",299.95,82,search,$27,$21,$16,,
ORDER-371461,creator,"Retail Live Commerce Creator Kit",359,98,search,$33,$25,$20,,
ORDER-371462,creator,"Retail Portable Studio Light",80.99,22,search,$7,$6,$4,,
ORDER-371463,creator,"Retail Wireless Lavalier Mic Set",89.04,24,search,$8,$6,$5,,
ORDER-371464,creator,"Retail Product Photo Light Box",55.4,15,search,$5,$4,$3,,
ORDER-371465,creator,"Retail Phone Tripod With Remote",269.99,74,search,$25,$19,$15,,
ORDER-371466,creator,"Retail Desktop Teleprompter Kit",80,21.78,category-median,$7,$5,$4,,
ORDER-371467,creator,"Retail RGB Background Light Bar",89.9,24,search,$8,$6,$5,,
ORDER-371468,creator,"Retail Mobile Gimbal Stabilizer",27.9,8,search,$3,$2,$2,,
ORDER-371469,creator,"Retail USB Podcast Microphone",79,22,search,$7,$6,$4,,
ORDER-371470,creator,"Retail Green Screen Backdrop Set",19,5,search,$2,$1,$1,,
ORDER-371471,creator,"Pro Live Commerce Creator Kit",207.87,57,search,$19,$14,$11,,
ORDER-371472,creator,"Pro Portable Studio Light",119.99,33,search,$11,$8,$7,,
ORDER-371473,creator,"Pro Wireless Lavalier Mic Set",28.99,8,search,$3,$2,$2,,
ORDER-371474,creator,"Pro Product Photo Light Box",29.99,8,search,$3,$2,$2,,
ORDER-371475,creator,"Pro Phone Tripod With Remote",64.5,18,search,$6,$5,$4,,
ORDER-371476,creator,"Pro Desktop Teleprompter Kit",33,9,search,$3,$2,$2,,
ORDER-371477,creator,"Pro RGB Background Light Bar",212.01,58,search,$19,$15,$12,,
ORDER-371478,creator,"Pro Mobile Gimbal Stabilizer",62,17,search,$6,$4,$3,,
ORDER-371479,creator,"Pro USB Podcast Microphone",99.99,27,search,$9,$7,$5,,
ORDER-371480,creator,"Pro Green Screen Backdrop Set",80,22,search,$7,$6,$4,,
ORDER-371481,creator,"Compact Live Commerce Creator Kit",54,15,search,$5,$4,$3,,
ORDER-371482,creator,"Compact Portable Studio Light",159,43,search,$14,$11,$9,,
ORDER-371483,creator,"Compact Wireless Lavalier Mic Set",135.9,37,search,$12,$9,$7,,
ORDER-371484,creator,"Compact Product Photo Light Box",58.94,16,search,$5,$4,$3,,
ORDER-371485,creator,"Compact Phone Tripod With Remote",49.6,14,search,$5,$4,$3,,
ORDER-371486,creator,"Compact Desktop Teleprompter Kit",34.65,9,search,$3,$2,$2,,
ORDER-371487,creator,"Compact RGB Background Light Bar",299.99,82,search,$27,$21,$16,,
ORDER-371488,creator,"Compact Mobile Gimbal Stabilizer",25,7,search,$2,$2,$1,,
ORDER-371489,creator,"Compact USB Podcast Microphone",269,73,search,$24,$18,$15,,
ORDER-371490,creator,"Compact Green Screen Backdrop Set",44.9,12,search,$4,$3,$2,,
ORDER-371491,creator,"Premium Live Commerce Creator Kit",122.99,33,search,$11,$8,$7,,
ORDER-371492,creator,"Premium Portable Studio Light",80,21.78,category-median,$7,$5,$4,,
ORDER-371493,creator,"Premium Wireless Lavalier Mic Set",102.99,28,search,$9,$7,$6,,
ORDER-371494,creator,"Premium Product Photo Light Box",206.1,56,search,$19,$14,$11,,
ORDER-371495,creator,"Premium Phone Tripod With Remote",59,16,search,$5,$4,$3,,
ORDER-371496,creator,"Premium Desktop Teleprompter Kit",16.08,4,search,$1,$1,$1,,
ORDER-371497,creator,"Premium RGB Background Light Bar",49.99,14,search,$5,$4,$3,,
ORDER-371498,creator,"Premium Mobile Gimbal Stabilizer",47.24,13,search,$4,$3,$3,,
ORDER-371499,creator,"Premium USB Podcast Microphone",34.99,10,search,$3,$3,$2,,
ORDER-371500,creator,"Premium Green Screen Backdrop Set",44.4,12,search,$4,$3,$2,,
ORDER-371501,creator,"Travel Live Commerce Creator Kit",239.99,65,search,$22,$16,$13,,
ORDER-371502,creator,"Travel Portable Studio Light",39.99,11,search,$4,$3,$2,,
ORDER-371503,creator,"Travel Wireless Lavalier Mic Set",195.99,53,search,$18,$13,$11,,
ORDER-371504,creator,"Travel Product Photo Light Box",80,21.78,category-median,$7,$5,$4,,
ORDER-371505,creator,"Travel Phone Tripod With Remote",100,27,search,$9,$7,$5,,
ORDER-371506,creator,"Travel Desktop Teleprompter Kit",459,125,search,$42,$31,$25,,
ORDER-371507,creator,"Travel RGB Background Light Bar",119,32,detail,$11,$8,$6,,
ORDER-371508,creator,"Travel Mobile Gimbal Stabilizer",193.99,53,search,$18,$13,$11,,
ORDER-371509,creator,"Travel USB Podcast Microphone",39.99,11,search,$4,$3,$2,,
ORDER-371510,creator,"Travel Green Screen Backdrop Set",120,33,search,$11,$8,$7,,
ORDER-371511,travel,"Retail Premium Travel Bag Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371512,travel,"Retail Smart Carry-On Scale",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371513,travel,"Retail Luxury Packing Cube Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371514,travel,"Retail Universal Travel Adapter",1917.95,522,detail,$174,$131,$104,,
ORDER-371515,travel,"Retail Hardshell Luggage Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371516,travel,"Retail Anti-Theft Backpack",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371517,travel,"Retail Travel Toiletry Organizer",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371518,travel,"Retail Memory Foam Neck Pillow",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371519,travel,"Retail Passport Wallet Set",165,45,detail,$15,$11,$9,,
ORDER-371520,travel,"Retail Foldable Weekender Bag",165,45,detail,$15,$11,$9,,
ORDER-371521,travel,"Pro Premium Travel Bag Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371522,travel,"Pro Smart Carry-On Scale",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371523,travel,"Pro Luxury Packing Cube Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371524,travel,"Pro Universal Travel Adapter",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371525,travel,"Pro Hardshell Luggage Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371526,travel,"Pro Anti-Theft Backpack",165,45,detail,$15,$11,$9,,
ORDER-371527,travel,"Pro Travel Toiletry Organizer",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371528,travel,"Pro Memory Foam Neck Pillow",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371529,travel,"Pro Passport Wallet Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371530,travel,"Pro Foldable Weekender Bag",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371531,travel,"Compact Premium Travel Bag Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371532,travel,"Compact Smart Carry-On Scale",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371533,travel,"Compact Luxury Packing Cube Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371534,travel,"Compact Universal Travel Adapter",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371535,travel,"Compact Hardshell Luggage Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371536,travel,"Compact Anti-Theft Backpack",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371537,travel,"Compact Travel Toiletry Organizer",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371538,travel,"Compact Memory Foam Neck Pillow",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371539,travel,"Compact Passport Wallet Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371540,travel,"Compact Foldable Weekender Bag",149,41,detail,$14,$10,$8,,
ORDER-371541,travel,"Premium Premium Travel Bag Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371542,travel,"Premium Smart Carry-On Scale",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371543,travel,"Premium Luxury Packing Cube Set",164.7,45,detail,$15,$11,$9,,
ORDER-371544,travel,"Premium Universal Travel Adapter",799,218,detail,$73,$55,$44,,
ORDER-371545,travel,"Premium Hardshell Luggage Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371546,travel,"Premium Anti-Theft Backpack",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371547,travel,"Premium Travel Toiletry Organizer",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371548,travel,"Premium Memory Foam Neck Pillow",278,76,detail,$25,$19,$15,,
ORDER-371549,travel,"Premium Passport Wallet Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371550,travel,"Premium Foldable Weekender Bag",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371551,travel,"Travel Premium Travel Bag Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371552,travel,"Travel Smart Carry-On Scale",329.99,90,detail,$30,$23,$18,,
ORDER-371553,travel,"Travel Luxury Packing Cube Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371554,travel,"Travel Universal Travel Adapter",249.99,68,detail,$23,$17,$14,,
ORDER-371555,travel,"Travel Hardshell Luggage Set",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371556,travel,"Travel Anti-Theft Backpack",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371557,travel,"Travel Travel Toiletry Organizer",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371558,travel,"Travel Memory Foam Neck Pillow",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371559,travel,"Travel Passport Wallet Set",404.99,110,detail,$37,$28,$22,,
ORDER-371560,travel,"Travel Foldable Weekender Bag",249.99,68.07,category-median,$23,$17,$14,,
ORDER-371561,gaming,"Retail Console Accessory Kit",299,81,search,$27,$20,$16,,
ORDER-371562,gaming,"Retail RGB Gaming Headset",179,48.74,category-median,$16,$12,$10,,
ORDER-371563,gaming,"Retail Mechanical Keyboard Set",720,196,search,$65,$49,$39,,
ORDER-371564,gaming,"Retail Wireless Gaming Mouse",144.49,39,search,$13,$10,$8,,
ORDER-371565,gaming,"Retail Mobile Game Controller",95,26,search,$9,$7,$5,,
ORDER-371566,gaming,"Retail LED Gaming Desk Mat",119,32,search,$11,$8,$6,,
ORDER-371567,gaming,"Retail Streaming Capture Card",137.45,37,search,$12,$9,$7,,
ORDER-371568,gaming,"Retail Gaming Chair Footrest",103,28,search,$9,$7,$6,,
ORDER-371569,gaming,"Retail Portable Mini Projector",225,61,search,$20,$15,$12,,
ORDER-371570,gaming,"Retail VR Headset Carry Case",299,81,search,$27,$20,$16,,
ORDER-371571,gaming,"Pro Console Accessory Kit",179,48.74,category-median,$16,$12,$10,,
ORDER-371572,gaming,"Pro RGB Gaming Headset",393.48,107,search,$36,$27,$21,,
ORDER-371573,gaming,"Pro Mechanical Keyboard Set",99.99,27,search,$9,$7,$5,,
ORDER-371574,gaming,"Pro Wireless Gaming Mouse",179,48.74,category-median,$16,$12,$10,,
ORDER-371575,gaming,"Pro Mobile Game Controller",299,81,search,$27,$20,$16,,
ORDER-371576,gaming,"Pro LED Gaming Desk Mat",218,59,search,$20,$15,$12,,
ORDER-371577,gaming,"Pro Streaming Capture Card",155,42,search,$14,$11,$8,,
ORDER-371578,gaming,"Pro Gaming Chair Footrest",189,51,search,$17,$13,$10,,
ORDER-371579,gaming,"Pro Portable Mini Projector",59.98,16,search,$5,$4,$3,,
ORDER-371580,gaming,"Pro VR Headset Carry Case",137.98,38,search,$13,$10,$8,,
ORDER-371581,gaming,"Compact Console Accessory Kit",60,16,search,$5,$4,$3,,
ORDER-371582,gaming,"Compact RGB Gaming Headset",34,9,search,$3,$2,$2,,
ORDER-371583,gaming,"Compact Mechanical Keyboard Set",178,48,search,$16,$12,$10,,
ORDER-371584,gaming,"Compact Wireless Gaming Mouse",186,51,search,$17,$13,$10,,
ORDER-371585,gaming,"Compact Mobile Game Controller",224,61,search,$20,$15,$12,,
ORDER-371586,gaming,"Compact LED Gaming Desk Mat",160,44,search,$15,$11,$9,,
ORDER-371587,gaming,"Compact Streaming Capture Card",34,9,search,$3,$2,$2,,
ORDER-371588,gaming,"Compact Gaming Chair Footrest",39.99,11,search,$4,$3,$2,,
ORDER-371589,gaming,"Compact Portable Mini Projector",134.59,37,search,$12,$9,$7,,
ORDER-371590,gaming,"Compact VR Headset Carry Case",898.98,245,search,$82,$61,$49,,
ORDER-371591,gaming,"Premium Console Accessory Kit",139.3,38,search,$13,$10,$8,,
ORDER-371592,gaming,"Premium RGB Gaming Headset",269,73,search,$24,$18,$15,,
ORDER-371593,gaming,"Premium Mechanical Keyboard Set",261,71,detail,$24,$18,$14,,
ORDER-371594,gaming,"Premium Wireless Gaming Mouse",109,30,search,$10,$8,$6,,
ORDER-371595,gaming,"Premium Mobile Game Controller",149,41,search,$14,$10,$8,,
ORDER-371596,gaming,"Premium LED Gaming Desk Mat",218,59,search,$20,$15,$12,,
ORDER-371597,gaming,"Premium Streaming Capture Card",399,109,search,$36,$27,$22,,
ORDER-371598,gaming,"Premium Gaming Chair Footrest",27.88,8,search,$3,$2,$2,,
ORDER-371599,gaming,"Premium Portable Mini Projector",38,10,search,$3,$3,$2,,
ORDER-371600,gaming,"Premium VR Headset Carry Case",130,35,search,$12,$9,$7,,
ORDER-371601,gaming,"Travel Console Accessory Kit",495.96,135,search,$45,$34,$27,,
ORDER-371602,gaming,"Travel RGB Gaming Headset",649,177,search,$59,$44,$35,,
ORDER-371603,gaming,"Travel Mechanical Keyboard Set",179.99,49,search,$16,$12,$10,,
ORDER-371604,gaming,"Travel Wireless Gaming Mouse",228,62,search,$21,$16,$12,,
ORDER-371605,gaming,"Travel Mobile Game Controller",92.21,25,search,$8,$6,$5,,
